,gene_ids,n_cells,mt,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm,mean,std
ZNF436,ENSG00000125945,6,False,6,0.009259259,99.77777777777777,25.0,True,0.04020340992171975,4.383702234551088,5.2020564,6.20083696292918e-11,0.1072251140053143
MDS2,ENSG00000197880,53,False,53,0.025555555,98.03703703703704,69.0,True,0.11188087808125027,2.7277857345927905,1.9324958,4.559195578561487e-11,0.2558884010503641
PITHD1,ENSG00000057757,365,False,365,0.16777778,86.48148148148148,453.0,True,0.5528280881167547,3.530311853844462,1.7033205,2.8243292634282896e-11,0.597989738387991
HMGCL,ENSG00000117305,137,False,137,0.067777775,94.92592592592592,183.0,True,0.2665406245384316,4.146621582449972,4.7339473,1.0794233403664995e-10,0.3757775798681636
TMEM50A,ENSG00000183726,716,False,716,0.35814816,73.48148148148148,967.0,True,0.940435336453724,3.329199252147444,1.3929011,-1.9487871917655198e-10,0.8092978390595658
LDLRAP1,ENSG00000157978,338,False,338,0.15777777,87.48148148148148,426.0,True,0.5838087491085056,4.397272908171219,2.9273415,-2.5983829223540265e-10,0.599095832555968
RP11-70P17.1,ENSG00000225643,27,False,27,0.014444444,99.0,39.0,True,0.0520464811650269,2.481618439005606,1.4464453,6.284132611127945e-11,0.17379394901670334
STMN1,ENSG00000117632,196,False,196,0.13851851,92.74074074074075,374.0,True,0.3838171429139733,2.7614199279649703,0.7179265,-8.472987790284869e-12,0.4926178548707883
PDIK1L,ENSG00000175087,30,False,30,0.022962963,98.88888888888889,62.0,True,0.1062821371095572,4.551376646961327,5.533125,8.331771327113455e-11,0.2019335608069622
ZNF593,ENSG00000142684,167,False,167,0.083333336,93.81481481481482,225.0,True,0.27111709738592016,3.129064202548217,2.724809,2.8243292634282896e-12,0.40376177595596036
TMEM222,ENSG00000186501,167,False,167,0.08111111,93.81481481481482,219.0,True,0.2778932765947135,2.6243358792940543,1.7282369,-4.5471701141195463e-10,0.41978540598594194
PPP1R8,ENSG00000117751,159,False,159,0.06740741,94.11111111111111,182.0,True,0.26290702493574725,2.6049689831569633,1.6899976,1.0096977116756136e-10,0.4070092973374751
PTAFR,ENSG00000169403,77,False,77,0.03925926,97.14814814814815,106.0,True,0.13799767552704909,2.6036153222643055,1.6873248,1.480393972684904e-10,0.2834423446656181
PHACTR4,ENSG00000204138,100,False,100,0.06888889,96.2962962962963,186.0,True,0.24939603930741594,3.892327598283955,4.231851,-1.9064222528140954e-10,0.3591936383732783
SNHG12,ENSG00000197989,140,False,140,0.05962963,94.81481481481482,161.0,True,0.23145294303131073,2.3596201843319218,1.2055632,1.3344955769698669e-10,0.38397970821982264
TAF12,ENSG00000120656,380,False,380,0.18444444,85.92592592592592,498.0,True,0.572926284747383,3.0174405359177636,0.9735262,2.202976825474066e-10,0.6159538396747366
YTHDF2,ENSG00000198492,337,False,337,0.15592593,87.51851851851852,421.0,True,0.5131828045659884,2.902811403657216,0.8991305,1.7793274359598225e-10,0.5822746888049414
PUM1,ENSG00000134644,89,False,89,0.044444446,96.70370370370371,120.0,True,0.15875172933705597,2.738921410897713,1.9544829,1.6451717959469788e-10,0.30657406986065683
SPOCD1,ENSG00000134668,3,False,3,0.0037037036,99.8888888888889,10.0,True,0.01916609720914087,3.3174018474641547,3.0966763,-4.213842719287059e-11,0.09164405754008592
TMEM234,ENSG00000160055,51,False,51,0.02111111,98.11111111111111,57.0,True,0.10023271365843935,2.1843838914578835,0.85956407,-9.185413814448469e-11,0.24823952813489436
HDAC1,ENSG00000116478,421,False,421,0.2162963,84.4074074074074,584.0,True,0.6558190375659798,3.638777989159292,1.8533278,-2.8243292634282896e-11,0.6523253152833559
MARCKSL1,ENSG00000175130,493,False,493,0.25814813,81.74074074074073,697.0,True,0.7520368940626605,3.084912150326462,1.0690646,8.600082607139142e-10,0.7208388284325734
SMIM12,ENSG00000163866,317,False,317,0.14296296,88.25925925925927,386.0,True,0.47365113023973804,3.4077671762586585,1.54627,-2.7960859707940067e-10,0.5484115113711698
AGO4,ENSG00000134698,30,False,30,0.014444444,98.88888888888889,39.0,True,0.06644385010066715,3.0631311620468877,2.594626,1.6945975580569738e-11,0.18846784744367448
TRAPPC3,ENSG00000054116,441,False,441,0.21555555,83.66666666666667,582.0,True,0.6569952370065844,3.5491823452358866,1.726462,-8.472987790284869e-11,0.646883512824627
EVA1B,ENSG00000142694,23,False,23,0.017777778,99.14814814814815,48.0,True,0.06613530054646309,3.984551664045269,4.413945,-1.7257644727803525e-11,0.16662251694191135
RRAGC,ENSG00000116954,158,False,158,0.083333336,94.14814814814815,225.0,True,0.31021818673545576,3.8810032305644566,2.1527584,-3.530411579285362e-10,0.4106979007866663
PPIE,ENSG00000084072,325,False,325,0.15037037,87.96296296296296,406.0,True,0.5094191533332081,3.1480907845730974,1.2134749,-1.0167585348341843e-10,0.5761026574514644
TRIT1,ENSG00000043514,36,False,36,0.02111111,98.66666666666667,57.0,True,0.08630997184632311,3.9752634773850937,4.3956056,1.5721364064005129e-12,0.19690922194720517
PPT1,ENSG00000131238,516,False,516,0.25777778,80.88888888888889,696.0,True,0.7161291955874008,2.920530450988206,0.8363034,4.829603040462376e-10,0.6946774936869001
SMAP2,ENSG00000084070,434,False,434,0.2,83.92592592592592,540.0,True,0.6240381241011683,3.4341121849934906,1.563525,-1.4121646317141448e-11,0.642619817365945
ZFP69,ENSG00000187815,26,False,26,0.010740741,99.03703703703704,29.0,True,0.04921612740063657,2.0164778735263735,0.5280383,1.5745635643612716e-10,0.1738877300810735
CITED4,ENSG00000179862,87,False,87,0.04037037,96.77777777777777,109.0,True,0.1530442272398433,2.4541835660790787,1.3922759,-3.7422362740424836e-11,0.3066494106607799
C1orf50,ENSG00000164008,149,False,149,0.062962964,94.48148148148148,170.0,True,0.24816298597511074,2.3566884174509752,1.1997745,-1.0450018274684672e-10,0.39831995513685337
EBNA1BP2,ENSG00000117395,228,False,228,0.09740741,91.55555555555556,263.0,True,0.35451412658285253,2.66825016708245,0.59852237,4.5189268214852634e-11,0.4782197931172102
ST3GAL3,ENSG00000126091,26,False,26,0.01,99.03703703703704,27.0,True,0.05123491429015377,2.028815407405569,0.55239844,6.601869653263627e-11,0.1770869112521308
DMAP1,ENSG00000178028,168,False,168,0.06962963,93.77777777777779,188.0,True,0.26348642711132564,2.869277334919651,2.211867,-2.5418963370854608e-11,0.40412519639478695
ERI3,ENSG00000117419,175,False,175,0.08740741,93.51851851851852,236.0,True,0.32688282841682115,4.571433321935274,3.0375974,-3.304465238211099e-10,0.41365833216041475
PRDX1,ENSG00000117450,822,False,822,0.5222222,69.55555555555554,1410.0,True,1.0639353251373995,3.123660106150819,1.0725412,-2.2665242339012024e-10,0.8517313841676887
FAAH,ENSG00000117480,68,False,68,0.033333335,97.48148148148148,90.0,True,0.12292612183042217,2.6193720131383036,1.7184359,2.1182469475712173e-11,0.2709306454698695
ATPAF1,ENSG00000123472,158,False,158,0.06518518,94.14814814814815,176.0,True,0.24435398128458172,2.005726512436414,0.50681007,-2.2312201181083488e-10,0.3988599929702502
EFCAB14,ENSG00000159658,148,False,148,0.07148148,94.51851851851852,193.0,True,0.23290042293429494,2.794859618825477,2.0649314,9.602719495656184e-11,0.3780514306268214
PDZK1IP1,ENSG00000162366,6,False,6,0.0037037036,99.77777777777777,10.0,True,0.029020352864011206,2.7870894968233677,2.0495894,-3.937322542806021e-12,0.12116504396090799
TAL1,ENSG00000162367,3,False,3,0.0014814815,99.8888888888889,4.0,True,0.015462271996719904,3.4604277369227674,3.379077,1.5169651063052844e-11,0.07843505133175474
SPATA6,ENSG00000132122,18,False,18,0.0074074073,99.33333333333333,20.0,True,0.03332424757217873,2.0928275498526947,0.6787886,1.9408437657121279e-10,0.1411179362056985
ZCCHC11,ENSG00000134744,161,False,161,0.067777775,94.03703703703704,183.0,True,0.2635532201629797,2.1718913771423574,0.83489794,4.5189268214852634e-11,0.41461345569540325
SCP2,ENSG00000116171,735,False,735,0.36703703,72.77777777777779,991.0,True,0.9403138066479987,3.478531060575108,1.6256543,1.793449082276964e-10,0.8041260993759863
HSPB11,ENSG00000081870,190,False,190,0.094814815,92.96296296296296,256.0,True,0.35286179469025997,4.326912272360788,2.724225,-9.885152421999013e-11,0.44345768017486137
SSBP3,ENSG00000157216,85,False,85,0.04111111,96.85185185185186,111.0,True,0.16235917231940117,3.4452745515038044,3.3491573,-2.9655457265997044e-11,0.2989438372870101
ACOT11,ENSG00000162390,8,False,8,0.0033333334,99.70370370370371,9.0,True,0.014373546174681243,2.0236225190577124,0.5421452,-2.5452060979410406e-11,0.0923119010634278
PARS2,ENSG00000162396,7,False,7,0.005185185,99.74074074074075,14.0,True,0.017921600730245506,2.5305293437012457,1.5430186,3.195608582738095e-11,0.09966445938230828
ATG4C,ENSG00000125703,87,False,87,0.03814815,96.77777777777777,103.0,True,0.14584709471641588,2.0505107812601695,0.59523535,1.1156100590541744e-10,0.30319747769808353
PGM1,ENSG00000079739,97,False,97,0.062592596,96.4074074074074,169.0,True,0.2294754727562023,4.057712614610389,4.558399,3.205613713991109e-10,0.33497093783311144
LRRIQ3,ENSG00000162620,9,False,9,0.018518519,99.66666666666667,50.0,True,0.10002345524482786,5.439986566413746,7.2876606,1.491578206242718e-10,0.13272566078633566
ACADM,ENSG00000117054,213,False,213,0.0937037,92.11111111111111,253.0,True,0.3384796140889387,2.873131999335591,0.8610941,1.4121646317141448e-11,0.4636974249467287
USP33,ENSG00000077254,122,False,122,0.055555556,95.48148148148148,150.0,True,0.21378714934104073,2.5195312234577725,1.521303,-1.0450018274684672e-10,0.3633498233799695
IFI44,ENSG00000137965,295,False,295,0.14296296,89.07407407407408,386.0,True,0.4484665463538629,2.8198137367270686,0.7927627,1.666354265422691e-10,0.5407510775210039
RP5-887A10.1,ENSG00000234184,36,False,36,0.02111111,98.66666666666667,57.0,True,0.0890959024899922,2.258415797437586,1.005738,-1.1826878790605963e-10,0.2312810361792296
PRKACB,ENSG00000142875,126,False,126,0.05962963,95.33333333333334,161.0,True,0.2110614154700939,2.581201404500877,1.6430691,7.625689011256382e-11,0.36252126140033614
SH3GLB1,ENSG00000097033,379,False,379,0.19777778,85.96296296296296,534.0,True,0.6006877000217097,3.4824464041532246,1.6319653,-1.6098676801541252e-10,0.6194049376321266
PKN2,ENSG00000065243,89,False,89,0.037407406,96.70370370370371,101.0,True,0.1657972165719164,2.7559467985670114,1.988099,1.1862182906398817e-10,0.31390334495588673
GTF2B,ENSG00000137947,265,False,265,0.12222222,90.18518518518519,330.0,True,0.42099032044175344,3.2639054932659133,1.3619003,-1.2709481685427304e-10,0.5156143012484269
GBP1,ENSG00000117228,287,False,287,0.1425926,89.37037037037037,385.0,True,0.47162275933733155,3.544431309938927,1.7214156,-2.7042952697325876e-10,0.5417361125368253
GBP4,ENSG00000162654,150,False,150,0.07518519,94.44444444444444,203.0,True,0.2551987706920664,3.0424093480578374,2.5537114,-1.1297317053713159e-11,0.393124787355302
LRRC8C,ENSG00000171488,76,False,76,0.032962963,97.18518518518519,89.0,True,0.13280702396106864,2.179491890810268,0.84990495,9.535696838330689e-11,0.28705553328526223
TMED5,ENSG00000117500,244,False,244,0.11,90.96296296296296,297.0,True,0.37344040250594396,3.786584138289712,2.031753,9.885152421999013e-11,0.46944585591744337
RP11-421L21.3,ENSG00000233184,53,False,53,0.027407408,98.03703703703704,74.0,True,0.1100992095872499,3.1946991923618846,2.8544033,1.2991914611770133e-10,0.24652871156974465
HENMT1,ENSG00000162639,122,False,122,0.055555556,95.48148148148148,150.0,True,0.21808516958721472,2.4883085301127874,1.4596547,8.755420716627698e-11,0.3707198949597314
TMEM167B,ENSG00000215717,166,False,166,0.06555556,93.85185185185185,177.0,True,0.25716907837401004,2.0149028178149373,0.5249284,-4.9425762109995066e-11,0.4099305724059068
SARS,ENSG00000031698,377,False,377,0.16925927,86.03703703703704,457.0,True,0.555725998275181,2.8470810806600704,0.8277079,2.1464902402055002e-10,0.6115447738674342
LAMTOR5,ENSG00000134248,752,False,752,0.36962962,72.14814814814815,998.0,True,0.929109340365107,3.040423018311715,0.94280523,-3.177370421356826e-11,0.803045311006214
DRAM2,ENSG00000156171,435,False,435,0.20148148,83.88888888888889,544.0,True,0.6147207523789192,3.230404634835486,1.2750791,-2.767842678159724e-10,0.6413718988560169
CEPT1,ENSG00000134255,153,False,153,0.07148148,94.33333333333334,193.0,True,0.2677243559486607,2.6464967401128714,1.7719929,1.383921339079862e-10,0.4062929893366829
DENND2D,ENSG00000162777,433,False,433,0.2,83.96296296296296,540.0,True,0.660038866688544,3.0996464936181383,1.0899282,-1.864057313862671e-10,0.6707219492817543
CHI3L2,ENSG00000064886,108,False,108,0.057777777,96.0,156.0,True,0.2381936530559475,3.2481905998680554,2.9600205,-1.482772863299852e-10,0.3747376305830751
C1orf162,ENSG00000143110,1034,False,1034,0.77185184,61.7037037037037,2084.0,True,1.4030672055984441,2.966145341474896,0.6040606,-3.237387418204677e-10,1.0034036739511716
ST7L,ENSG00000007341,78,False,78,0.03925926,97.11111111111111,106.0,True,0.14652329063574565,3.217631095780015,2.8996818,-1.4121646317141448e-12,0.28839142819442415
LRIG2,ENSG00000198799,29,False,29,0.011481482,98.92592592592592,31.0,True,0.05611204368418185,2.105536303466051,0.7038817,2.4712881054997533e-11,0.18443580193620457
AP4B1-AS1,ENSG00000226167,7,False,7,0.0025925925,99.74074074074075,7.0,True,0.01607823656867678,2.035366691118655,0.5653338,1.9403473015837907e-12,0.09877669477526917
RP5-1073O3.7,ENSG00000235527,66,False,66,0.032962963,97.55555555555556,89.0,True,0.12260785030965489,2.8530236969875413,2.1797748,-4.8719679794137994e-11,0.26755639007905846
CD2,ENSG00000116824,856,False,856,0.56222224,68.2962962962963,1518.0,True,1.2229007451954366,3.024942015096616,0.6910901,-9.743935958827599e-10,0.9530979134211846
WARS2,ENSG00000116874,33,False,33,0.022962963,98.77777777777777,62.0,True,0.08740816018264254,3.702307696937867,3.856662,2.5470816290925363e-10,0.20552398224708618
FCGR1B,ENSG00000198019,61,False,61,0.023703704,97.74074074074073,64.0,True,0.09843451354200361,2.008380539502007,0.51205033,1.1209056764231025e-10,0.2459299143218597
LIX1L,ENSG00000152022,139,False,139,0.05740741,94.85185185185185,155.0,True,0.2401977595874374,2.6866330936091263,1.851241,-2.513653044451178e-10,0.3870811143132407
CD160,ENSG00000117281,79,False,79,0.046296295,97.07407407407408,125.0,True,0.22827638310031104,3.071235540980439,2.610628,-3.1420663055639724e-11,0.35933964774050253
FCGR1A,ENSG00000150337,119,False,119,0.05888889,95.5925925925926,159.0,True,0.21691384208157574,2.201814379634875,0.8939801,-3.5189377416526844e-10,0.3701716349318203
BOLA1,ENSG00000178096,102,False,102,0.04777778,96.22222222222221,129.0,True,0.21501928034118944,3.76540560850009,3.9812472,-5.7192667584422865e-11,0.336250921723332
CTSS,ENSG00000163131,1396,False,1396,2.0244443,48.29629629629629,5466.0,True,2.1594689421015896,3.284279513782032,0.9110147,5.795611908844332e-10,1.275434455843726
FAM63A,ENSG00000143409,32,False,32,0.011851852,98.81481481481481,32.0,True,0.05965439721790185,2.022620989533199,0.54016775,1.5680405773417325e-10,0.1906503297799398
PRUNE,ENSG00000143363,32,False,32,0.024074074,98.81481481481481,65.0,True,0.06919660985223973,2.5233087901104736,1.5287617,-6.848998463813602e-11,0.20072910016286283
MLLT11,ENSG00000213190,85,False,85,0.06111111,96.85185185185186,165.0,True,0.24227876997587847,4.483020982205061,5.3981586,-5.225009137342336e-11,0.3215015932299241
PI4KB,ENSG00000143393,137,False,137,0.06518518,94.92592592592592,176.0,True,0.22975413219964655,2.1673900956963563,0.8260103,1.228583229591306e-10,0.38473208799596936
C2CD4D,ENSG00000225556,5,False,5,0.011851852,99.81481481481481,32.0,True,0.0641567858158248,5.0062115827858715,6.431184,-2.7819315716350653e-11,0.11439783611496075
THEM4,ENSG00000159445,151,False,151,0.07037037,94.4074074074074,190.0,True,0.23722197558000274,2.575294613651386,1.6314063,6.778390232227895e-11,0.3866372863483035
S100A11,ENSG00000163191,1421,False,1421,1.942963,47.370370370370374,5246.0,True,2.1211407893051923,3.110956367436392,0.60069954,1.0224071933610409e-09,1.254647487819714
S100A12,ENSG00000163221,149,False,149,0.10222222,94.48148148148148,276.0,True,0.4152794153058703,3.011637501146042,1.0385995,-2.050486489388332e-10,0.4933102896645356
S100A8,ENSG00000143546,743,False,743,3.1537037,72.48148148148148,8515.0,True,2.768540822048749,4.794425190258364,2.5181432,1.6642360184751197e-09,1.5895748010160746
S100A6,ENSG00000197956,2109,False,2109,4.189259,21.888888888888893,11311.0,True,2.8852922658356723,3.273462522805195,1.3110199,-3.374080541540132e-10,1.3103424666859806
SNAPIN,ENSG00000143553,313,False,313,0.14481482,88.4074074074074,391.0,True,0.4925307598147666,3.1301142414615843,1.1904366,-3.530411579285362e-10,0.5655516272633351
CRTC2,ENSG00000160741,86,False,86,0.044074073,96.81481481481482,119.0,True,0.1782484284093753,3.9618982078125367,4.3692164,-3.0290931350268407e-10,0.30342486181433487
SLC39A1,ENSG00000143570,169,False,169,0.07925926,93.74074074074075,214.0,True,0.25787732137122016,2.6417698002555285,1.7626598,-4.5189268214852634e-11,0.3981488578529299
UBE2Q1,ENSG00000160714,58,False,58,0.048148148,97.85185185185186,130.0,True,0.16737210730413518,4.796313659432461,6.0167465,6.833001286344966e-11,0.2559297594657204
CKS1B,ENSG00000173207,187,False,187,0.086666666,93.07407407407408,234.0,True,0.32306139771954817,3.406465742387156,1.5446022,1.4686512169827105e-10,0.43678990944714824
SLC50A1,ENSG00000169241,163,False,163,0.06814815,93.96296296296296,184.0,True,0.26411523981237356,2.0639836453757443,0.62183714,-3.0220323118682697e-10,0.41431454982735855
RIT1,ENSG00000143622,89,False,89,0.03814815,96.70370370370371,103.0,True,0.16472231986616365,2.746220106750578,1.9688939,3.6716280424567764e-11,0.3127136556475778
PMF1,ENSG00000160783,365,False,365,0.15888889,86.48148148148148,429.0,True,0.5323402081863295,3.133697886471537,1.1950293,-2.8243292634282896e-11,0.5926020385652473
BGLAP,ENSG00000242252,6,False,6,0.0025925925,99.77777777777777,7.0,True,0.014842685761262166,2.048465525094127,0.591197,-1.844157376718496e-12,0.09480756728099086
GPATCH4,ENSG00000160818,106,False,106,0.058518518,96.07407407407408,158.0,True,0.20202980581895508,3.3951126811562267,3.2501142,-7.625689011256382e-11,0.33983606618108964
ISG20L2,ENSG00000143319,147,False,147,0.06111111,94.55555555555556,165.0,True,0.23353645110339918,2.1120757889332733,0.7167937,1.7087192043741153e-10,0.38765874275944473
HDGF,ENSG00000143321,148,False,148,0.07074074,94.51851851851852,191.0,True,0.27347104126842603,3.720964876574398,3.8935003,-1.8005099054355346e-10,0.39302625824271287
FCRL2,ENSG00000132704,47,False,47,0.034074076,98.25925925925925,92.0,True,0.08555739920649726,2.005929199685267,0.50721025,3.64073694113803e-11,0.2308339555290041
CD1C,ENSG00000158481,71,False,71,0.047407407,97.37037037037038,128.0,True,0.13623122806741605,2.0366235325460993,0.56781536,-2.6918009225027727e-10,0.2877235775590659
AIM2,ENSG00000163568,61,False,61,0.03185185,97.74074074074073,86.0,True,0.13361987100890313,3.8587490339491,4.165551,-3.0361539581854116e-11,0.2584896554246617
FCER1A,ENSG00000179639,55,False,55,0.11,97.96296296296296,297.0,True,0.22429646081717974,3.2722895996668413,3.0076034,2.474377215631628e-10,0.32934479227016167
FCRL6,ENSG00000181036,95,False,95,0.045185186,96.48148148148148,122.0,True,0.20938280144044819,2.1151278019243906,0.72281986,-3.1505061957457014e-10,0.36519468247596165
DCAF8,ENSG00000132716,139,False,139,0.064444445,94.85185185185185,174.0,True,0.2394260098645295,3.2256493201853655,2.9155135,1.666354265422691e-10,0.375626731238197
PEX19,ENSG00000162735,112,False,112,0.052592594,95.85185185185185,142.0,True,0.18919939010010428,3.0232482000833283,2.5158782,-2.1028013969118438e-11,0.3342765472307613
CD48,ENSG00000117091,1873,False,1873,1.5548148,30.62962962962963,4198.0,True,2.017642534327372,3.1438964893532027,0.65967506,-1.3343852516080143e-10,1.0561030653570807
F11R,ENSG00000158769,21,False,21,0.008148148,99.22222222222223,22.0,True,0.03865492200113533,2.0727925010394457,0.63922995,-3.565164068268952e-11,0.1531059890627223
PFDN2,ENSG00000143256,525,False,525,0.24851851,80.55555555555556,671.0,True,0.7103273345435145,2.96139100905671,0.8941611,-4.603656699388112e-10,0.6909174677412587
NIT1,ENSG00000158793,126,False,126,0.055185184,95.33333333333334,149.0,True,0.21257230830721138,2.469768387884594,1.4230478,1.1297317053713159e-10,0.361315601545321
DEDD,ENSG00000158796,82,False,82,0.043703705,96.96296296296296,118.0,True,0.15013228866593087,3.219323256171746,2.9030228,2.6619303307811633e-10,0.29007708118500974
FCER1G,ENSG00000158869,964,False,964,2.0362964,64.29629629629629,5498.0,True,2.1076638928059546,3.2739625013423983,0.89254326,-6.3262493180152e-10,1.3414176752266405
FCGR2A,ENSG00000143226,226,False,226,0.1274074,91.62962962962963,344.0,True,0.39791189422656736,3.2393358094984137,1.3304124,-8.028928208827882e-11,0.48792104670336806
FCGR3A,ENSG00000203747,497,False,497,0.7503704,81.5925925925926,2026.0,True,1.2751834008973515,3.097234893194898,0.7980964,-7.048135741957668e-11,0.9662337151729926
FCGR2B,ENSG00000072694,77,False,77,0.03814815,97.14814814814815,103.0,True,0.15833395103188483,2.008034653977603,0.51136744,5.825179105820848e-11,0.3173428320330134
FCGR3B,ENSG00000162747,13,False,13,0.006666667,99.51851851851852,18.0,True,0.027478657407378326,2.0718193614343696,0.63730854,-2.958926204888544e-11,0.1284345125476993
FCRLA,ENSG00000132185,117,False,117,0.06185185,95.66666666666667,167.0,True,0.2850407127984831,3.4583189782018127,1.6110561,-2.444810018655113e-10,0.4063727017257169
TMCO1,ENSG00000143183,469,False,469,0.22074074,82.62962962962963,596.0,True,0.6501712029375961,2.7892562377315913,0.6504217,5.931091453199408e-10,0.6631227585660424
CD247,ENSG00000198821,721,False,721,0.43333334,73.2962962962963,1170.0,True,1.1170267674768128,3.145324094374865,1.1063074,7.625689011256382e-10,0.9027578675463258
MPC2,ENSG00000143158,427,False,427,0.2025926,84.18518518518519,547.0,True,0.6235655183214738,4.1115141941232975,2.522713,2.8243292634282896e-11,0.6293972563195716
XCL2,ENSG00000143185,138,False,138,0.083703704,94.88888888888889,226.0,True,0.3521857069497823,2.6191266283407844,0.53556675,2.9158993137660036e-10,0.47068439243393984
XCL1,ENSG00000143184,86,False,86,0.043333333,96.81481481481482,117.0,True,0.20254610496321726,2.161651924786581,0.8146804,-2.9451355346569606e-11,0.3581479024401627
BLZF1,ENSG00000117475,53,False,53,0.031111112,98.03703703703704,84.0,True,0.10746846215830949,2.731114885970492,1.9390692,-3.3891951161139476e-11,0.24966938677234324
F5,ENSG00000198734,18,False,18,0.007037037,99.33333333333333,19.0,True,0.04495686928164168,2.3327785524256837,1.1525651,1.3631456943759815e-10,0.16171420073555906
SELL,ENSG00000188404,1264,False,1264,0.8707407,53.185185185185176,2351.0,True,1.6083504656842782,3.4479936876845936,1.7066342,3.774892581150873e-10,1.0746277780074545
FMO4,ENSG00000076258,11,False,11,0.004074074,99.59259259259258,11.0,True,0.024754855338841416,2.1591261207932004,0.8096933,4.598895470490658e-11,0.12140357700330216
KIAA0040,ENSG00000235750,167,False,167,0.07925926,93.81481481481482,214.0,True,0.30510060466916533,2.858608797602063,0.8424815,-2.3441932886454806e-10,0.4379923903566498
QSOX1,ENSG00000116260,97,False,97,0.045555554,96.4074074074074,123.0,True,0.18427090299950016,3.457057907723183,3.3724234,-9.620371553552612e-11,0.32066825683314976
